Noise,Promedio_Resultado,Desviacion_Estandar
0,0.9999999984487152,6.679886471156408e-09
1,0.9303381368078611,0.014030175145001803
2,0.7058950306067836,0.06896436899201976
3,0.39554676031311137,0.13336471286897253
4,0.1509649947375688,0.07131157419395315
5,0.06148186123836315,0.032094697251699
0.5,0.9794672359118208,0.0045012634782800095
1.5,0.8565346002604726,0.02287945842123472
2.5,0.4601725802196664,0.19172692267144908
3.5,0.22004364686509936,0.10088832408798404
4.5,0.08788722353998543,0.04438258161471287
0.25,0.9937806639445044,0.0030378954149605183
1.25,0.8804630707449561,0.027029410880846445
2.25,0.6392218994555927,0.08466672546732851
3.25,0.29518562332000486,0.12791462869374703
4.25,0.12204275523912378,0.05796395874192162
0.75,0.9542689715640108,0.011418270386566346
1.75,0.7669368119602351,0.05705902898932621
2.75,0.4867705111417212,0.11344459981964423
3.75,0.1979023621474927,0.08337924332744738
4.75,0.06745476494341457,0.03537758376400704
