Noise,Promedio_Resultado,Desviacion_Estandar
0.0,1.0,0.0
0.25,0.9966290794420565,0.0011143554868157477
0.5,0.9864723887459879,0.00378975989679501
0.75,0.9703593412875915,0.011306203383550609
1.0,0.9465300384441827,0.01670614007502189
1.25,0.9189300850028282,0.023286807324843745
1.5,0.8710589708633854,0.06828985848646003
1.75,0.8477390608980704,0.040753802753838476
2.0,0.796730426942564,0.06002135669650824
2.25,0.7465460012021088,0.07964888166719097
2.5,0.6966342013093649,0.08509473721019105
2.75,0.6315348176535063,0.105601931437977
3.0,0.5743256205203863,0.11476206817360059
3.25,0.5285272444642507,0.10589121613866727
3.5,0.4321353194327517,0.12977214845619514
3.75,0.38305254468946864,0.12244436434618515
4.0,0.3501216510037249,0.11234563176125578
4.25,0.2847474499690406,0.11349985274730531
4.5,0.23698950091275645,0.1047211933653648
4.75,0.20411485049723743,0.09607158099850856
5.0,0.18184814132397684,0.08945055385679146
