Noise,Tiempo
1.5,443
1.5,392
1.5,469
1.5,408
1.0,384
1.0,408
1.0,367
1.0,438
0.0,466
0.0,313
0.0,454
0.0,347
0.5,599
0.5,435
0.5,672
0.5,423
