Particles,Noise,Tiempo
600,2.5,1517
600,2.5,1572
600,2.5,1546
600,2.5,1508
600,0.0,818
600,0.0,745
600,0.0,788
600,0.0,750
600,1.5,852
600,1.5,828
600,1.5,1016
600,1.5,912
600,3.5,1641
600,3.5,1540
600,3.5,1681
600,3.5,1446
600,3.0,1188
600,3.0,1222
600,3.0,1376
600,3.0,1351
600,0.5,777
600,0.5,753
600,0.5,813
600,0.5,755
600,5.0,3590
600,5.0,3728
600,5.0,3883
600,5.0,3999
600,2.0,1224
600,2.0,1231
600,2.0,1294
600,2.0,1275
600,1.0,1103
600,1.0,1110
600,1.0,1232
600,1.0,1145
600,4.0,2093
600,4.0,1545
600,4.0,2251
600,4.0,2158
600,4.5,2294
600,4.5,2310
600,4.5,2379
600,4.5,2394
