Noise,Promedio_Resultado,Desviacion_Estandar
0.1,0.9994914546909283,0.0001276627162193541
0.35,0.9939700381586856,0.0016904465927387357
0.6,0.9807872555152546,0.006134154251398506
0.85,0.9586911917431938,0.01627064941935857
1.1,0.9349923857280339,0.019105011621911177
1.35,0.9055993191659714,0.02626237251837831
1.6,0.8734265522974831,0.032213025366354335
1.85,0.8284526007934423,0.04699433678985407
2.1,0.7782685150069716,0.0804755792366861
2.35,0.7341778661497611,0.06535549991418613
2.6,0.6778978740306243,0.0743162609150518
2.85,0.6094204307606835,0.10490907156528852
3.1,0.5634793378976857,0.10266089851385504
3.35,0.46942467344511424,0.1331981104483678
3.6,0.41952988667335833,0.12444265773262878
3.85,0.3687687447616524,0.12233594336333384
4.1,0.31758510664989614,0.1203444608273495
4.35,0.27103096334813226,0.11154798374026795
4.6,0.21867174879029205,0.10150413574283551
4.85,0.19395450124272764,0.09319045782322494
5.1,0.17495089835768354,0.08728128976726302
