ID,Indice
1.0,157
1.0,160
1.0,253
1.0,157
3.0,477
3.0,340
3.0,554
3.0,399
4.0,360
4.0,386
4.0,311
4.0,398
0.0,245
0.0,258
0.0,236
0.0,159
2.0,286
2.0,204
2.0,135
2.0,476
