Noise,Promedio_Resultado,Desviacion_Estandar
0.05,0.9940821047960767,0.0018170353525699767
0.3,0.9952036653081444,0.0003611436048678816
0.55,0.9641259429971787,0.008354217538638275
0.8,0.9338240568077505,0.025747676546066096
1.05,0.9109527770061924,0.012042059306937946
1.3,0.8440902440046566,0.02547933946980246
1.55,0.7572470966808283,0.038502645140764735
1.8,0.755396808486012,0.03398369861645726
2.05,0.6567368420469348,0.02579904288864473
2.3,0.6136573811348806,0.03946752731996031
2.55,0.4808396714812651,0.05265353188665543
2.8,0.46603949666108385,0.04361653019162633
3.05,0.30300881677360963,0.05455134549836787
3.3,0.1476948117814248,0.05595562533279703
3.55,0.07937343440714505,0.043208230871388774
3.8,0.0939367826596577,0.045405309179426076
4.05,0.053906377385569894,0.024881404177792936
4.3,0.04078269417755769,0.020182277214614616
4.55,0.026141977883689865,0.014100475636176835
4.8,0.02146282705927949,0.011050201480015552
5.05,0.018137512710001455,0.009723062448273428
