Noise,Promedio_Resultado,Desviacion_Estandar
0.25,0.9963268535108405,0.0005033864461857654
0.75,0.9580332442303117,0.009521431598860697
1.25,0.878600152851048,0.04281607050371902
1.75,0.78515942764598,0.039704744102055475
2.25,0.6804417749554847,0.04824645928615927
2.75,0.5070904120101013,0.0589779424985765
3.25,0.3013727869033742,0.11635573461919227
3.75,0.18960717558737733,0.09682761377272713
4.25,0.1283345049266256,0.057476795136522395
4.75,0.06979260084285474,0.03528643223100329
0.0,0.9999999601472149,1.9319093564506482e-07
0.5,0.9797783138475832,0.0062139061499560675
1.0,0.931927297261354,0.010082281601177811
1.5,0.8166097365773913,0.04473967558387916
2.0,0.7495012975659999,0.03484740531998856
2.5,0.6254060740827808,0.05105762917250057
3.0,0.32749622097603637,0.12368731464865568
3.5,0.23196185207329004,0.10551735627719226
4.0,0.1918224143728748,0.08059634856734446
4.5,0.09197065307444001,0.045971229399487716
5.0,0.06251614067775614,0.03423553802542255
