Noise,Promedio_Resultado,Desviacion_Estandar
0,1,0
0.5,0.98,0
1,0.95,0
1.5,0.87,0
2,0.77,0
2.5,0.65,0
3,0.515,0
3.5,0.4,0
4,0.25,0
4.5,0.2,0
5,0.15,0
