Noise,Promedio_Resultado,Desviacion_Estandar
0,1,0
0.5,0.98,0
1,0.95,0
1.5,0.80,0
2,0.65,0
2.5,0.45,0
3,0.15,0
3.5,0.05,0
4,0.02,0
4.5,0.02,0
5,0,0

