Noise,Promedio_Resultado,Desviacion_Estandar
0.0,0.9999999605939429,1.8578115782137441e-07
0.5,0.9815436205890917,0.004098702886470272
1.0,0.917632896563157,0.026262127658503248
1.5,0.8350428666311991,0.03829965911181328
2.0,0.7158730994566578,0.06331903928066836
2.5,0.5250211394346022,0.13996965535764472
3.0,0.40045267263822243,0.13185437035767378
3.5,0.24131544682302777,0.09477936796832054
4.0,0.13610074422420992,0.06547497582049006
4.5,0.07692766422026392,0.039235459472601944
5.0,0.05690637965210333,0.030424498332820724
