Noise,Promedio_Resultado,Desviacion_Estandar
0.0,0.9999999999999998,0.0
0.5,0.9856254793923243,0.004127882445971518
1.0,0.9394674651608133,0.0232030335763725
1.5,0.88525451607431,0.025997814499640066
2.0,0.736067647217404,0.11828548246077943
2.5,0.6142235875194539,0.14459490969260216
3.0,0.4834997516883595,0.15573131399840587
3.5,0.3906909419259706,0.12748147378301786
4.0,0.31829040879631665,0.12019149123453304
4.5,0.2106054875434076,0.10275214842283482
5.0,0.16455620969443951,0.08476808699752905
